estado;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2011;2012;2013;2014;2015;2016;2017;2018;2019
Acre;527.937;541.873;574.355;586.942;600.595;630.328;669.736;686.652;688.892;680.075;691.132;746.386;758.786;776.463;790.101;803.513;816.687;829.619;869.265;881.935
Alagoas;2.713.203;2.738.378;2.856.629;2.887.535;2.917.664;2.980.910;3.015.912;3.050.652;3.103.380;3.127.560;3.156.108;3.143.384;3.165.472;3.300.935;3.321.730;3.340.932;3.358.963;3.375.823;3.322.820;3.337.357
Amazonas;2.580.860;2.641.251;2.900.240;2.961.801;3.031.068;3.138.726;3.232.330;3.311.026;3.352.198;3.341.094;3.393.369;3.538.387;3.590.985;3.807.921;3.873.743;3.938.336;4.001.667;4.063.614;4.080.611;4.144.597
Amapá;439.781;458.796;498.735;516.511;534.835;547.400;594.587;615.715;621.162;613.166;626.609;684.309;698.602;734.996;750.912;766.679;782.295;797.722;829.494;845.731
Bahia;12.993.011;13.135.262;13.214.114;13.323.212;13.435.612;13.682.074;13.815.334;13.950.146;14.293.755;14.502.563;14.637.364;14.097.534;14.175.341;15.044.137;15.126.371;15.203.334;15.276.566;15.344.447;14.812.617;14.873.064
Ceará;7.106.605;7.200.167;7.547.620;7.654.535;7.758.441;7.976.563;8.097.276;8.217.085;8.382.447;8.450.528;8.547.809;8.530.155;8.606.005;8.778.576;8.842.791;8.904.459;8.963.663;9.020.460;9.075.649;9.132.078
Distrito Federal;1.969.868;2.016.497;2.097.447;2.145.839;2.189.789;2.282.049;2.333.108;2.383.784;2.495.335;2.557.159;2.606.885;2.609.998;2.648.532;2.789.761;2.852.372;2.914.830;2.977.216;3.039.444;2.974.703;3.015.268
Espírito Santo;2.938.062;2.980.729;3.155.016;3.201.722;3.250.219;3.352.024;3.408.365;3.464.285;3.475.742;3.453.646;3.487.199;3.547.055;3.578.067;3.839.366;3.885.049;3.929.911;3.973.697;4.016.356;3.972.388;4.018.650
Goiás;4.848.725;4.953.650;5.116.462;5.210.335;5.306.459;5.508.245;5.619.917;5.730.753;5.828.527;5.844.995;5.926.300;6.080.716;6.154.996;6.434.048;6.523.222;6.610.681;6.695.855;6.778.772;6.921.161;7.018.354
Maranhão;5.418.349;5.480.066;5.730.467;5.803.224;5.873.655;6.021.504;6.103.327;6.184.538;6.275.838;6.305.537;6.367.138;6.645.761;6.714.314;6.794.301;6.850.884;6.904.241;6.954.036;7.000.229;7.035.055;7.075.181
Minas Gerais;17.295.955;17.492.296;18.127.096;18.343.517;18.553.312;18.993.720;19.237.450;19.479.356;19.756.511;19.850.060;20.033.665;19.728.701;19.855.332;20.593.356;20.734.097;20.869.101;20.997.560;21.119.536;21.040.662;21.168.791
Mato Grosso do Sul;2.026.600;2.057.734;2.111.036;2.140.624;2.169.688;2.227.794;2.264.468;2.297.981;2.329.240;2.336.060;2.360.498;2.477.542;2.500.365;2.587.269;2.619.657;2.651.235;2.682.386;2.713.147;2.748.023;2.778.986
Mato Grosso;2.375.549;2.419.591;2.560.584;2.604.742;2.651.335;2.742.646;2.803.274;2.856.999;2.929.346;2.957.735;3.001.692;3.075.936;3.115.336;3.182.113;3.224.357;3.265.486;3.305.531;3.344.544;3.441.998;3.484.466
Pará;5.886.454;6.004.854;6.341.736;6.453.683;6.574.993;6.850.181;6.970.586;7.110.465;7.270.743;7.321.490;7.431.020;7.688.593;7.777.543;7.969.654;8.073.924;8.175.113;8.272.724;8.366.628;8.513.497;8.602.865
Paraíba;3.375.609;3.397.673;3.468.594;3.494.893;3.518.595;3.568.350;3.595.886;3.623.215;3.696.596;3.742.604;3.769.977;3.791.315;3.815.171;3.914.421;3.943.885;3.972.202;3.999.415;4.025.558;3.996.496;4.018.127
Pernambuco;7.580.826;7.638.101;8.008.207;8.084.667;8.161.862;8.323.911;8.413.593;8.502.603;8.656.430;8.734.196;8.810.256;8.864.906;8.931.028;9.208.550;9.277.727;9.345.173;9.410.336;9.473.266;9.496.294;9.557.071
Piauí;2.734.152;2.753.373;2.873.010;2.898.223;2.923.725;2.974.698;3.006.885;3.036.290;3.090.808;3.111.881;3.145.325;3.140.328;3.160.748;3.184.166;3.194.718;3.204.028;3.212.180;3.219.257;3.264.531;3.273.227
Paraná;9.375.592;9.492.790;9.694.709;9.798.006;9.906.866;10.135.388;10.261.856;10.387.378;10.536.813;10.590.171;10.686.247;10.512.349;10.577.755;10.997.465;11.081.692;11.163.018;11.242.720;11.320.892;11.348.937;11.433.957
Rio de Janeiro;13.807.358;13.933.756;14.558.545;14.724.475;14.879.118;15.203.750;15.383.407;15.561.720;15.786.075;15.872.362;16.010.429;16.112.678;16.231.365;16.369.179;16.461.173;16.550.024;16.635.996;16.718.956;17.159.960;17.264.943
Rio Grande do Norte;2.654.501;2.684.712;2.815.244;2.852.784;2.888.058;2.962.107;3.003.087;3.043.760;3.090.651;3.106.436;3.137.541;3.198.657;3.228.198;3.373.959;3.408.510;3.442.175;3.474.998;3.507.003;3.479.010;3.506.853
Rondônia;1.296.856;1.317.614;1.407.886;1.431.777;1.455.907;1.562.085;1.534.594;1.562.417;1.533.173;1.493.565;1.503.928;1.576.455;1.590.011;1.728.214;1.748.531;1.768.204;1.787.279;1.805.788;1.757.589;1.777.225
Roraima;266.922;273.160;337.237;346.871;357.302;381.896;391.317;403.344;412.422;412.783;421.499;460.165;469.524;488.072;496.936;505.665;514.229;522.636;576.568;605.761
Rio Grande do Sul;9.971.910;10.077.267;10.309.819;10.408.540;10.510.992;10.726.063;10.845.087;10.963.219;10.938.674;10.855.228;10.914.128;10.733.030;10.768.025;11.164.043;11.207.274;11.247.972;11.286.500;11.322.895;11.329.605;11.377.239
Santa Catarina;5.098.448;5.168.808;5.448.736;5.527.707;5.607.233;5.774.178;5.866.568;5.958.266;6.038.505;6.052.587;6.118.743;6.317.054;6.362.734;6.634.254;6.727.148;6.819.190;6.910.553;7.001.161;7.075.494;7.164.788
Sergipe;1.712.786;1.740.719;1.817.301;1.846.039;1.874.613;1.934.596;1.967.791;2.000.738;2.010.209;1.999.374;2.019.679;2.089.819;2.110.867;2.195.662;2.219.574;2.242.937;2.265.779;2.288.116;2.278.308;2.298.696
São Paulo;35.816.740;36.351.316;37.630.106;38.177.742;38.709.320;39.825.226;40.442.795;41.055.734;41.219.887;41.011.638;41.384.039;41.587.182;41.901.219;43.663.669;44.035.304;44.396.484;44.749.699;45.094.866;45.538.936;45.919.049
Tocantins;1.134.895;1.162.085;1.184.895;1.207.014;1.230.181;1.262.644;1.305.728;1.332.441;1.312.246;1.280.513;1.292.051;1.400.892;1.417.694;1.478.164;1.496.880;1.515.126;1.532.902;1.550.194;1.555.229;1.572.866
